"","FC=0;CR=0","FC=0;CR=0.1","FC=0;CR=0.2","FC=0;CR=0.3","FC=0;CR=0.4","FC=0.4;CR=0","FC=0.4;CR=0.1","FC=0.4;CR=0.2","FC=0.4;CR=0.3","FC=0.4;CR=0.4","FC=0.8;CR=0","FC=0.8;CR=0.1","FC=0.8;CR=0.2","FC=0.8;CR=0.3","FC=0.8;CR=0.4"
"rmsea.uncor.fimlc1",0.0354722605911936,0.0485400467861011,0.0776837972758492,0.117312261623895,0.167184595280229,0.0357572380128732,0.0488928838549568,0.0780937767549457,0.117584592834466,0.168664963245184,0.0354506016743159,0.0495657628538516,0.0788035286800221,0.119120418730978,0.175655294290139
"rmsea.cor.obs.nonn_str1",0.0115091224865308,0.0292756092958161,0.0663862270890113,0.10911721709938,0.160571684471301,0.0111552608426039,0.0294309468437854,0.0667174806324649,0.10940997403088,0.161722699928013,0.0101324781928937,0.0297596386569442,0.067187300737103,0.110810338678168,0.168167650023631
"rmsea.cor.exp.nonn_str1",0.0118429111116373,0.030289432220708,0.0668827410564072,0.107401544563565,0.159795353116732,0.0116946214158078,0.0306652750682832,0.0673183225251768,0.107649392876868,0.160063362609342,0.0112654945496585,0.0316118216693438,0.0681357895236204,0.109391239020349,0.162723773354368
"rmsea.cor.obs.nonn_unstr1",0.0124599126375247,0.0316387599843679,0.0689337111403755,0.111785069225367,0.16340187149571,0.0123334572332751,0.0319971556428172,0.0693729370603463,0.112075127063825,0.164889441047436,0.0117453432106389,0.0328449616037934,0.0701195259642311,0.113641139914682,0.17201646417921
"rmsea.cor.obs_str1",0.0122498604444119,0.0313820541341965,0.0686710669959039,0.111376692150605,0.16414011599917,0.0120574012823222,0.0317017895074422,0.0691174804924087,0.111601659495219,0.165080154419738,0.011385431004232,0.0326193684588917,0.0698660095409008,0.113229242619536,0.173058379404118
"rmsea.cor.exp_str1",0.00737493956746566,0.0241953356261937,0.0598094352518907,0.106940188519085,0.16483120670488,0.00716212329268493,0.0246285826972544,0.0588461163020176,0.110157764923475,0.164767187478182,0.0067593742017161,0.0256091726779761,0.0606641457311715,0.115436904507998,0.17329734931378
"rmsea.cor.obs_unstr1",0.0120954333229497,0.0312808481114827,0.0687673902907173,0.111684275258845,0.16332702719964,0.0118951794569129,0.0315838041539378,0.0691997279911245,0.111968875530733,0.164820709901514,0.0112236565306922,0.032493872885178,0.0699288516945618,0.113529882613303,0.171946300911296
"rmsea.fiml2",0.005878667,0.022679656,0.048718214,0.079336913,0.117239714,0.005798531,0.022710713,0.049047062,0.079462494,0.118215626,0.005998163,0.023142005,0.049489066,0.081210838,0.123214847
"rmsea.uncor.fimlc2",0.0247812425353236,0.041226754778909,0.0731421222152389,0.114725357648911,0.166480239634655,0.0243535876828175,0.0413078751696224,0.0736942936937411,0.115002439955635,0.167809614858178,0.0245632185911647,0.0417208097771208,0.074335253374149,0.117382693224128,0.175085408897669
"rmsea.cor.obs.nonn_str2",0.00765409549800897,0.0313150910056436,0.0675597627163408,0.11071045150031,0.163210185323651,0.00715991439661104,0.0313632937937224,0.0680937055152138,0.11098059763524,0.164423029204079,0.00743376708510596,0.0316868774086779,0.06861756744462,0.113356560298576,0.171778174488521
"rmsea.cor.exp.nonn_str2",0.00772515267335641,0.0317740359456262,0.0678086162483503,0.10972279990713,0.163106257557936,0.00736665547267278,0.0318892988660566,0.0683692206872027,0.109989436959159,0.164271731763863,0.00779168480221334,0.0323866427261868,0.0690271064734944,0.112573506700024,0.168773735703283
"rmsea.cor.obs.nonn_unstr2",0.00791935355950389,0.0322955785335843,0.0687361410028032,0.111969024871707,0.164614726628808,0.00757677014546466,0.032396523212581,0.0693007446437252,0.112242287143432,0.165954411236736,0.0079332904906466,0.0328799830642942,0.0699364123107615,0.11466714772325,0.173294937529568
"rmsea.cor.obs_str2",0.00787216947134374,0.0322300783072821,0.0686893602705199,0.111890714346088,0.164384403177828,0.00751134419362467,0.032349392876206,0.0692488443664965,0.112169946037986,0.165375708492449,0.00783277658434491,0.0328416646972879,0.0699015740014265,0.114484030626732,0.173211057707533
"rmsea.cor.exp_str2",0.00626340711233399,0.0302455870479855,0.0656724426468665,0.109370007940571,0.162650481605944,0.00598621884533739,0.0303883514597711,0.0662195938685574,0.110767017072612,0.163553264347138,0.00632441552558917,0.0309531100078304,0.0668136701063397,0.114765374914543,0.169165746343784
"rmsea.cor.obs_unstr2",0.00781906175982171,0.0321939346110405,0.0686955308165882,0.111943350776269,0.164596859878868,0.00745238736450002,0.0323091887450488,0.0692517428232339,0.112217639081972,0.165937638717769,0.00777324383333133,0.0327899981267248,0.069895332740633,0.114639370043522,0.17327580562673
