"rmsea","cfi","version","fac.corr","cor.resi","mech","place","per.miss","num.var.miss","num.cor","samp"
-0.004284,0.007012,"FIML-C V1",2,4,0,"SF",0,"2",1,200
-0.00631,-0.037963,"FIML-C V2",2,4,0,"SF",0,"2",1,200
-0.000706,-0.000108,"FIML-C V3",2,4,0,"SF",0,"2",1,200
-0.000945,0.000273,"FIML-C V4",2,4,0,"SF",0,"2",1,200
-0.020493,-0.044785,"FIML-C V5",2,4,0,"SF",0,"2",1,200
-0.000945,0.000273,"FIML-C V6",2,4,0,"SF",0,"2",1,200
-0.000945,0.000273,"TS V0",2,4,0,"SF",0,"2",1,200
-0.004573,0.007475,"TS V1",2,4,0,"SF",0,"2",1,200
-0.000948,0.000284,"TS V2",2,4,0,"SF",0,"2",1,200
0.009032,-0.002307,"FIML",0,0,0,"SF",0,"2",1,500
0.009032,-0.002307,"FIML-C V0",0,0,0,"SF",0,"2",1,500
0.008323,-0.002153,"FIML-C V1",0,0,0,"SF",0,"2",1,500
0.00841,-0.002253,"FIML-C V2",0,0,0,"SF",0,"2",1,500
0.009167,-0.002349,"FIML-C V3",0,0,0,"SF",0,"2",1,500
0.009032,-0.002307,"FIML-C V4",0,0,0,"SF",0,"2",1,500
0.006273,-0.037004,"FIML-C V5",0,0,0,"SF",0,"2",1,500
0.009032,-0.002307,"FIML-C V6",0,0,0,"SF",0,"2",1,500
0.009032,-0.002307,"TS V0",0,0,0,"SF",0,"2",1,500
0.008141,-0.002101,"TS V1",0,0,0,"SF",0,"2",1,500
0.008985,-0.002296,"TS V2",0,0,0,"SF",0,"2",1,500
-0.002113,-0.000607,"FIML",0,1,0,"SF",0,"2",1,500
-0.002113,-0.000607,"FIML-C V0",0,1,0,"SF",0,"2",1,500
-0.002992,-0.000358,"FIML-C V1",0,1,0,"SF",0,"2",1,500
-0.002761,-0.000686,"FIML-C V2",0,1,0,"SF",0,"2",1,500
-0.001897,-0.000701,"FIML-C V3",0,1,0,"SF",0,"2",1,500
-0.002113,-0.000607,"FIML-C V4",0,1,0,"SF",0,"2",1,500
-0.005535,-0.051232,"FIML-C V5",0,1,0,"SF",0,"2",1,500
-0.002113,-0.000607,"FIML-C V6",0,1,0,"SF",0,"2",1,500
-0.002113,-0.000607,"TS V0",0,1,0,"SF",0,"2",1,500
-0.003181,-0.000276,"TS V1",0,1,0,"SF",0,"2",1,500
-0.002085,-0.00062,"TS V2",0,1,0,"SF",0,"2",1,500
-0.000558,-0.000141,"FIML",0,2,0,"SF",0,"2",1,500
-0.000558,-0.000141,"FIML-C V0",0,2,0,"SF",0,"2",1,500
-0.001505,0.000222,"FIML-C V1",0,2,0,"SF",0,"2",1,500
-0.001225,-0.000872,"FIML-C V2",0,2,0,"SF",0,"2",1,500
-0.000464,-0.000232,"FIML-C V3",0,2,0,"SF",0,"2",1,500
-0.000558,-0.000141,"FIML-C V4",0,2,0,"SF",0,"2",1,500
-0.003334,-0.060936,"FIML-C V5",0,2,0,"SF",0,"2",1,500
