"rmsea","cfi","version","fac.corr","mech","pattern","per.miss","num.var.miss","samp"
0.014734,0.065658,"FIML-C V4",0.7,"MCAR","min",20,2,200
0.0268,0.308361,"FIML-C V5",0.7,"MCAR","min",20,2,200
0.014709,0.034965,"FIML-C V6",0.7,"MCAR","min",20,2,200
0.014442,0.0351,"TS V0",0.7,"MCAR","min",20,2,200
0.015985,0.035707,"TS V1",0.7,"MCAR","min",20,2,200
0.014665,0.034765,"TS V2",0.7,"MCAR","min",20,2,200
0.013598,0.039118,"FIML",0.6,"MCAR","min",20,2,200
0.013258,0.040335,"FIML-C V0",0.6,"MCAR","min",20,2,200
0.014899,0.042801,"FIML-C V1",0.6,"MCAR","min",20,2,200
0.014424,0.06184,"FIML-C V2",0.6,"MCAR","min",20,2,200
0.013331,0.040142,"FIML-C V3",0.6,"MCAR","min",20,2,200
0.013795,0.05639,"FIML-C V4",0.6,"MCAR","min",20,2,200
0.039881,0.320266,"FIML-C V5",0.6,"MCAR","min",20,2,200
0.013346,0.040136,"FIML-C V6",0.6,"MCAR","min",20,2,200
0.01314,0.039881,"TS V0",0.6,"MCAR","min",20,2,200
0.01508,0.042943,"TS V1",0.6,"MCAR","min",20,2,200
0.013278,0.039796,"TS V2",0.6,"MCAR","min",20,2,200
0.015087,0.047791,"FIML",0.5,"MCAR","min",20,2,200
0.013991,0.048181,"FIML-C V0",0.5,"MCAR","min",20,2,200
0.016391,0.05362,"FIML-C V1",0.5,"MCAR","min",20,2,200
0.017199,0.054303,"FIML-C V2",0.5,"MCAR","min",20,2,200
0.014168,0.048396,"FIML-C V3",0.5,"MCAR","min",20,2,200
0.014198,0.068399,"FIML-C V4",0.5,"MCAR","min",20,2,200
0.061298,0.329279,"FIML-C V5",0.5,"MCAR","min",20,2,200
0.01421,0.048458,"FIML-C V6",0.5,"MCAR","min",20,2,200
0.01384,0.047383,"TS V0",0.5,"MCAR","min",20,2,200
0.016585,0.053384,"TS V1",0.5,"MCAR","min",20,2,200
0.014102,0.047784,"TS V2",0.5,"MCAR","min",20,2,200
0.015804,0.051697,"FIML",0.4,"MCAR","min",20,2,200
0.013989,0.051793,"FIML-C V0",0.4,"MCAR","min",20,2,200
0.017025,0.059507,"FIML-C V1",0.4,"MCAR","min",20,2,200
0.020418,0.04601,"FIML-C V2",0.4,"MCAR","min",20,2,200
0.014264,0.05238,"FIML-C V3",0.4,"MCAR","min",20,2,200
0.016849,0.073844,"FIML-C V4",0.4,"MCAR","min",20,2,200
0.076947,0.337305,"FIML-C V5",0.4,"MCAR","min",20,2,200
0.014314,0.05249,"FIML-C V6",0.4,"MCAR","min",20,2,200
0.013755,0.050169,"TS V0",0.4,"MCAR","min",20,2,200
0.017268,0.058314,"TS V1",0.4,"MCAR","min",20,2,200
0.014155,0.051083,"TS V2",0.4,"MCAR","min",20,2,200
0.017201,0.057567,"FIML",0.3,"MCAR","min",20,2,200
0.014283,0.055418,"FIML-C V0",0.3,"MCAR","min",20,2,200
0.017351,0.062784,"FIML-C V1",0.3,"MCAR","min",20,2,200
0.022828,0.048194,"FIML-C V2",0.3,"MCAR","min",20,2,200
0.014621,0.056368,"FIML-C V3",0.3,"MCAR","min",20,2,200
0.023367,0.071237,"FIML-C V4",0.3,"MCAR","min",20,2,200
0.119441,0.360861,"FIML-C V5",0.3,"MCAR","min",20,2,200
0.014668,0.056496,"FIML-C V6",0.3,"MCAR","min",20,2,200
0.014162,0.05528,"TS V0",0.3,"MCAR","min",20,2,200
0.01775,0.062985,"TS V1",0.3,"MCAR","min",20,2,200
0.014635,0.056578,"TS V2",0.3,"MCAR","min",20,2,200
0.01644,0.054802,"FIML",0.2,"MCAR","min",20,2,200
0.014005,0.052106,"FIML-C V0",0.2,"MCAR","min",20,2,200
0.01592,0.058706,"FIML-C V1",0.2,"MCAR","min",20,2,200
0.021058,0.047458,"FIML-C V2",0.2,"MCAR","min",20,2,200
0.014147,0.05265,"FIML-C V3",0.2,"MCAR","min",20,2,200
0.022154,0.076027,"FIML-C V4",0.2,"MCAR","min",20,2,200
0.172285,0.352394,"FIML-C V5",0.2,"MCAR","min",20,2,200
0.014156,0.052697,"FIML-C V6",0.2,"MCAR","min",20,2,200
0.014068,0.052799,"TS V0",0.2,"MCAR","min",20,2,200
0.016408,0.059382,"TS V1",0.2,"MCAR","min",20,2,200
0.014294,0.053587,"TS V2",0.2,"MCAR","min",20,2,200
0.021708,0.008751,"FIML",1,"MCAR","min",50,2,200
0.048327,0.026967,"FIML-C V0",1,"MCAR","min",50,2,200
0.023918,0.009989,"FIML-C V1",1,"MCAR","min",50,2,200
0.027887,0.023385,"FIML-C V2",1,"MCAR","min",50,2,200
0.028864,0.013563,"FIML-C V3",1,"MCAR","min",50,2,200
0.028361,0.013466,"FIML-C V4",1,"MCAR","min",50,2,200
0.011693,0.105453,"FIML-C V5",1,"MCAR","min",50,2,200
0.027815,0.012975,"FIML-C V6",1,"MCAR","min",50,2,200
0.047603,0.026271,"TS V0",1,"MCAR","min",50,2,200
